channel_key,channel_id,title,link,type,status
sarapul,-72858308881829,Сарапул в MAX,https://max.ru/join/NeItlTFHnId7sN0_ZtMwFaWa0D88XO3rPZGd4BP962M,channel,active
saratov,-72858319957413,Саратов | Энгельс в MAX,https://max.ru/join/5abbSMExLg3CGKOL2ZMdMkMO5NvTosdOOlGcMGWyp3c,channel,active
sarov,-72858330836389,Саров в MAX,https://max.ru/join/y3_aSZqP2u-Mi3lDhDscwUvE-jBy_8aw9WZ5esWNq-k,channel,active
schyolkovo,-72859410279845,Щёлково в MAX,https://max.ru/join/lJPP8Dvg173_HP8R93KVCn1pU32XIIrFD338g1xPICU,channel,active
sergiev,-72859918183845,Сергиев Посад в MAX,https://max.ru/join/3WgTAmZCKuM9xmvDH4OCWtCfD3HXf5y7wuh5RmWS5Bk,channel,active
serpukhov,-72858745089445,Серпухов в MAX,https://max.ru/join/4j1nvWV8uSZIWVh7iJ7925OQwduA9sii_A52rzGkBDU,channel,active
sevastopol,-72858340994469,Севастополь в MAX,https://max.ru/join/TYm9Hu3t4XDNa472m7D8E7ANytAjLKy4S8ZAox06ZbQ,channel,active
severodvinsk,-72859826695589,Северодвинск в MAX,https://max.ru/join/Xfm-0y2Pi3S4iKlKUXEx7lzUkTgV73nSBEBIwsdJbMw,channel,active
seversk,-72859862674853,Северск в MAX,https://max.ru/join/35uktnsr3yAxgj7kX07m_9lgDevldE2CqhAXwL0BN4k,channel,active
shakhty,-72859400383909,Шахты в MAX,https://max.ru/join/Z4EmUymRgVrp-dHI9HjSK1XUgK8uebzUC6eLuAJGcmE,channel,active
sochi,-72858755575205,Сочи в MAX,https://max.ru/join/2PC4k39qcsWxZ6lcrrkmvsjVA7fyKuVc2s7Ji2GG06o,channel,active
staryy,-72858775432613,Старый Оскол в MAX,https://max.ru/join/xk01uMGM6Rre2rXhT_DWDnm4Ll_LbK9_3o-GV7SRDDE,channel,active
stavropol,-72858765340069,Ставрополь в MAX,https://max.ru/join/eK3lZMZgl6egcRBTsQhQFK0Lo-W1Nb6mGWTKNdi0FLk,channel,active
sterlitamak,-72858785787301,Стерлитамак в MAX,https://max.ru/join/xavfQO18XGH_V5soRtkgycuj_Y6Ru7GMYWjw3h5nTiU,channel,active
surgut,-72858795748773,Сургут в MAX,https://max.ru/join/Zgba-glFMU8MBDVMYXGq6NLrTMa3fejzU_f3hLvMJv0,channel,active
syktyvkar,-72858814295461,Сыктывкар в MAX,https://max.ru/join/AjejpXyht3EBBO_k-q74M6LAm8clObdWSrrHLqSSgRI,channel,active
syzran,-72858804596133,Сызрань в MAX,https://max.ru/join/dZpGamhdSxOS7nKogjo0lbTn1zZzvQAMDFLE6pvOtxI,channel,active
taganrog,-72858825698725,Таганрог в MAX,https://max.ru/join/EaV964Tw3jzjTHt4wx5jizlsnQ7M7Pxqizqk5hGNFM8,channel,active
tambov,-72858834677157,Тамбов в MAX,https://max.ru/join/JLe9GDWseg4xfnv0_6arj67PLJjJj7-n1nBFrgF-h38,channel,active
tobolsk,-72858857090469,Тобольск в MAX,https://max.ru/join/rfB2uZLM0kbWa2JD52DClnGNQr5t-KEroSGn7MunaNA,channel,active
tolyatti,-72858866527653,Тольятти в MAX,https://max.ru/join/_wR8sS6tm8ZedXxlPUzi3kxUaEA0VFqKNd9tHZ3Isso,channel,active
tomsk,-72858876620197,Томск в MAX,https://max.ru/join/xWxVdDA4hzsmkkOOrrMA-CTyM4uL8RiNbRaNAnhzKI8,channel,active
tula,-72858889072037,Тула в MAX,https://max.ru/join/y7eMkB67N5l80yk3scPozRdY-jLcFJ8Rk1T9xVcjuO8,channel,active
tver,-72858846145957,Тверь и область в MAX,https://max.ru/join/0rBuMHObjI4XhIbaw5akS4dkevdHgR-w7SsgGtk5gYw,channel,active
tyumen,-72858896805285,Тюмень в MAX,https://max.ru/join/hCFbY4IqnxXzjzFgq0BiWX_pGnAH1ZSqIN8sgUnQFwA,channel,active
ufa,-72858932784549,Уфа в MAX,https://max.ru/join/XztZ6qwdiP8C8DBWfnKDIfGuN0Io4TpkbiG0nLwXm1o,channel,active
ulan_ude,-72858906176933,Улан-Удэ в MAX,https://max.ru/join/UugIj40NhrL2AoqD-0gNaASkYdWuL0vSqNzUQNRY18E,channel,active
ulyanovsk,-72858915614117,Ульяновск в MAX,https://max.ru/join/O_ciHAtkfXlzo_GBNVF9Je1-wSOPKyzDu-4COhZ5h94,channel,active
